OrderID,OrderDate,PropertyID,ProductID,Quantity,unique,unique(prod,,,,,,,,,,PropertyID
1,1/1/2015,17,41,1,1,41,,,,,,,,,,17
2,1/1/2015,15,54,2,2,54,1)))))).find the maximum quantity sold in a transaction?,,,,,,,,,15
3,1/1/2015,5,71,2,3,71,,,,,,,,,,5
4,1/1/2015,19,3,2,,3,by clicking on quantity we can see 3 as maximum….,,,,,,,,,19
5,1/1/2015,12,45,3,,45,or we can use max() function….....,,,,,,,,,12
6,1/1/2015,6,94,2,,94,max(qnt),,count,,,,,,,6
7,1/1/2015,5,35,2,,35,3,,5000,,,,,,,16
8,2/1/2015,16,93,1,,93,,,,,,,,,,4
9,2/1/2015,4,93,3,,61,2)))))).find the unique values of product_id  in a transaction?,,,,,,,,,2
10,2/1/2015,2,61,2,,24,,,,,,,,,,8
11,2/1/2015,2,24,1,,23,by using remove  duplicate ,,,,,,,,,9
12,2/1/2015,8,23,1,,20,,,,,,,,,,20
13,2/1/2015,12,24,2,,84,3))))).unique properties id,,,,,,,,,1
14,3/1/2015,4,94,3,,89,,,,,,,,,,14
15,3/1/2015,16,20,2,,21,,,,,,,,,,10
16,3/1/2015,2,94,3,,6,,,,,,,,,,11
17,3/1/2015,19,84,1,,57,,,,,,,,,,18
18,3/1/2015,9,89,2,,70,,,,,,,,,,3
19,3/1/2015,20,21,3,,52,,,,,,,,,,13
20,3/1/2015,1,6,1,,74,,,,,,,,,,7
21,3/1/2015,8,57,3,,33,,,,,,,,,,
22,3/1/2015,4,70,2,,73,,,,,,,,,,
23,4/1/2015,17,24,1,,5,,,,,,,,,,
24,4/1/2015,14,23,2,,79,,,,,,,,,,
25,4/1/2015,12,52,1,,44,,,,,,,,,,
26,4/1/2015,17,84,2,,64,,,,,,,,,,
27,4/1/2015,10,74,1,,10,,,,,,,,,,
28,5/1/2015,10,33,3,,87,,,,,,,,,,
29,5/1/2015,5,73,2,,37,,,,,,,,,,
30,5/1/2015,2,5,1,,30,,,,,,,,,,
31,5/1/2015,11,79,2,,83,,,,,,,,,,
32,6/1/2015,20,44,1,,19,,,,,,,,,,
33,6/1/2015,9,64,1,,27,,,,,,,,,,
34,6/1/2015,18,10,2,,28,,,,,,,,,,
35,6/1/2015,1,87,1,,47,,,,,,,,,,
36,6/1/2015,2,37,2,,58,,,,,,,,,,
37,6/1/2015,3,23,3,,13,,,,,,,,,,
38,6/1/2015,8,37,3,,91,,,,,,,,,,
39,6/1/2015,10,30,3,,67,,,,,,,,,,
40,6/1/2015,19,83,2,,25,,,,,,,,,,
41,7/1/2015,13,19,2,,51,,,,,,,,,,
42,7/1/2015,10,27,2,,8,,,,,,,,,,
43,7/1/2015,5,87,3,,42,,,,,,,,,,
44,7/1/2015,1,19,2,,18,,,,,,,,,,
45,7/1/2015,9,23,2,,59,,,,,,,,,,
46,8/1/2015,6,28,2,,48,,,,,,,,,,
47,8/1/2015,14,47,3,,65,,,,,,,,,,
48,8/1/2015,18,58,1,,36,,,,,,,,,,
49,8/1/2015,15,13,3,,16,,,,,,,,,,
50,8/1/2015,19,91,2,,72,,,,,,,,,,
51,8/1/2015,5,67,2,,39,,,,,,,,,,
52,8/1/2015,10,25,3,,85,,,,,,,,,,
53,9/1/2015,8,51,3,,75,,,,,,,,,,
54,9/1/2015,5,24,2,,60,,,,,,,,,,
55,9/1/2015,14,8,3,,53,,,,,,,,,,
56,10/1/2015,16,70,3,,92,,,,,,,,,,
57,10/1/2015,19,41,2,,34,,,,,,,,,,
58,10/1/2015,19,42,1,,31,,,,,,,,,,
59,10/1/2015,13,93,2,,78,,,,,,,,,,
60,10/1/2015,13,42,2,,50,,,,,,,,,,
61,10/1/2015,1,18,3,,56,,,,,,,,,,
62,10/1/2015,2,59,1,,90,,,,,,,,,,
63,10/1/2015,7,19,2,,15,,,,,,,,,,
64,11/1/2015,1,73,2,,4,,,,,,,,,,
65,11/1/2015,6,83,1,,7,,,,,,,,,,
66,11/1/2015,3,74,1,,22,,,,,,,,,,
67,11/1/2015,5,70,2,,2,,,,,,,,,,
68,11/1/2015,6,84,3,,29,,,,,,,,,,
69,11/1/2015,2,48,2,,38,,,,,,,,,,
70,11/1/2015,14,65,1,,66,,,,,,,,,,
71,12/1/2015,19,30,1,,14,,,,,,,,,,
72,12/1/2015,10,36,1,,88,,,,,,,,,,
73,12/1/2015,11,25,3,,49,,,,,,,,,,
74,12/1/2015,17,16,3,,69,,,,,,,,,,
75,12/1/2015,3,27,2,,68,,,,,,,,,,
76,12/1/2015,2,44,1,,77,,,,,,,,,,
77,13-01-2015,18,44,3,,82,,,,,,,,,,
78,13-01-2015,14,72,1,,9,,,,,,,,,,
79,13-01-2015,16,39,3,,1,,,,,,,,,,
80,13-01-2015,8,85,1,,81,,,,,,,,,,
81,13-01-2015,2,75,2,,11,,,,,,,,,,
